Alfalfa.myzus.81_20_400_71_10	04:35:56	8075616
ArPo28.myzus.61_10_400_51_5	49:08.82	6502772
ArPo31.myzus.61_10_400_51_5	38:29.88	6173796
ArPo58.myzus.61_10_400_51_5	39:39.74	6277496
Cast.myzus.81_20_400_71_10	01:27:31	10612224
Clover.myzus.81_20_400_71_10	03:32:06	10021184
Gers.myzus.81_20_400_71_10	01:18:34	11006140
Gs.myzus.81_20_400_71_10	02:14:02	7423360
Gt.myzus.81_20_400_71_10	03:04:56	7591664
L10Lap02.myzus.61_10_400_51_5	49:55.11	6218960
L10Mo01.myzus.61_10_400_51_5	46:11.66	6388644
L10Mo03.myzus.61_10_400_51_5	01:02:25	6895216
L11Vc04.myzus.61_10_400_51_5	49:04.88	6093716
L11Vc05.myzus.61_10_400_51_5	44:16.54	6227348
L14Lap03.myzus.61_10_400_51_5	45:14.59	5840528
L14Os02.myzus.61_10_400_51_5	18:39.04	2226228
L14Os06.myzus.61_10_400_51_5	19:23.98	2316260
L14Os08.myzus.61_10_400_51_5	41:33.41	6071164
L14Sv01.myzus.61_10_400_51_5	50:20.99	10291996
L15Sv08.myzus.61_10_400_51_5	49:21.56	10731480
L15Sv14.myzus.61_10_400_51_5	45:05.43	9756424
L17ML03.myzus.61_10_400_51_5	46:25.17	6007024
L19Cs01.myzus.61_10_400_51_5	29:28.75	5792364
L1Vc01.myzus.61_10_400_51_5	39:12.26	6278424
L3Lc03.myzus.61_10_400_51_5	31:48.41	6279264
L3ML02.myzus.61_10_400_51_5	43:54.10	6459868
L3ML04.myzus.61_10_400_51_5	20:49.81	5303364
L4Lc03.myzus.61_10_400_51_5	47:05.31	6541732
L6Lap03.myzus.61_10_400_51_5	36:47.82	5977648
L6Mo02.myzus.61_10_400_51_5	36:03.51	10191076
L7Lc20.myzus.61_10_400_51_5	32:34.05	6110996
L7Tp01.myzus.61_10_400_51_5	24:07.36	5727504
L7Tp17.myzus.61_10_400_51_5	25:48.61	5824252
L7Tp23.myzus.61_10_400_51_5	33:14.67	5892184
L9Ms03.myzus.61_10_400_51_5	58:02.01	19365600
L9Ms05.myzus.61_10_400_51_5	13:19.73	2174428
L9Ms14.myzus.61_10_400_51_5	11:04.66	2122184
Lc.myzus.81_20_400_71_10	03:13:01	7119644
Lus.myzus.81_20_400_71_10	03:15:56	12040412
Mel.myzus.81_20_400_71_10	02:31:46	7355224
MI.myzus.81_20_400_71_10	02:01:38	11610184
Mil.myzus.81_20_400_71_10	01:39:19	10591408
Os.myzus.81_20_400_71_10	02:28:51	7197440
Ov.myzus.81_20_400_71_10	02:21:04	7573448
Pea.myzus.81_20_400_71_10	03:30:03	7701012
R21Cs02.myzus.61_10_400_51_5	46:38.87	11254216
Sl.myzus.81_20_400_71_10	02:07:20	9872296
Sv.myzus.81_20_400_71_10	02:25:33	7404772
Vc.myzus.81_20_400_71_10	02:23:32	10730744
Vl.myzus.81_20_400_71_10	02:19:31	9913628
